Data Category,Field,RentCast Value,AXESSO Value,Notes
,,,,
BASIC PROPERTY INFO,,,,
Property,Address,"953 Banyan Dr, Delray Beach, FL 33483",N/A,AXESSO: 404 Error
Property,Property Type,Single Family,N/A,
Property,Bedrooms,5,N/A,
Property,Bathrooms,6,N/A,
Property,Square Footage,"5,822",N/A,
Property,Lot Size (sq ft),"9,718",N/A,
Property,Year Built,"2,006",N/A,
,,,,
VALUATION DATA,,,,
Valuation,Current AVM Estimate,"$6,588,000 ",N/A,RentCast AVM
Valuation,Value Range Low,"$4,565,000 ",N/A,
Valuation,Value Range High,"$8,612,000 ",N/A,
Valuation,Last Sale Price,"$4,460,000 ",N/A,
Valuation,Last Sale Date,24-Jun-24,N/A,
,,,,
TAX INFORMATION,,,,
Taxes,2024 Property Taxes,"$64,088 ",N/A,
Taxes,2024 Tax Assessed Value,"$3,498,890 ",N/A,
Taxes,2024 Land Value,"$1,596,540 ",N/A,
Taxes,2024 Improvements Value,"$1,902,350 ",N/A,
,,,,
RENTAL DATA,,,,
Rental,Monthly Rent Estimate,"$16,040 ",N/A,Long-term rental estimate
Rental,Rent Range Low,"$11,120 ",N/A,
Rental,Rent Range High,"$20,960 ",N/A,
,,,,
PROPERTY FEATURES,,,,
Features,Pool,Yes,N/A,
Features,Garage,Yes,N/A,
Features,Floor Count,2,N/A,
Features,View Type,Water,N/A,
Features,Exterior Type,Stucco,N/A,
Features,Roof Type,Tile,N/A,
,,,,
LOCATION DATA,,,,
Location,City,Delray Beach,N/A,
Location,State,FL,N/A,
Location,Zip Code,33483,N/A,
Location,County,Palm Beach,N/A,
Location,Latitude,26.434262,N/A,
Location,Longitude,-80.066757,N/A,
,,,,
OWNER INFORMATION,,,,
Owner,Owner Name,Christopher M Hall,N/A,
Owner,Owner Type,Individual,N/A,
Owner,Owner Occupied,No,N/A,
,,,,
MARKET STATISTICS (ZIP 33483),,,,
Market,Average Sale Price,"$2,057,876 ",N/A,Zip code market average
Market,Median Sale Price,"$1,195,000 ",N/A,
Market,Avg Price per Sq Ft,$835.52 ,N/A,
Market,Avg Days on Market,114,N/A,
Market,Total Active Listings,374,N/A,
,,,,
DATA QUALITY SUMMARY,,,,
Summary,RentCast Status,SUCCESS - All 6 endpoints returned data,,"Properties, AVM, Rent, Market, Sale Listings, Rental Listings"
Summary,AXESSO Status,,FAILED - 404 Errors on both endpoints,Property Details and Area Search both returned 404
Summary,Data Fetched,19-Dec-25,19-Dec-25,
,,,,
COMPARABLE DATA AVAILABLE,,,,
Comparables,Sale Comparables Count,15,N/A,Used for AVM calculation
Comparables,Rental Comparables Count,15,N/A,Used for rent estimate
,,,,
,,,,
,,,,
,,ZILLOW CATIGORIES,ENDPOINTS,
,,,,
,,Accessibility Scores,https://api.axesso.de/zil/accessibility-scores[?url][&zpid],
,,Market Data,https://api.axesso.de/zil/market-data[?location],
,,Nearby Schools,https://api.axesso.de/zil/schools[?url][&zpid],
,,Photos,https://api.axesso.de/zil/photos[?zpid][&url],
,,Price Tax History,https://api.axesso.de/zil/price-tax-history[?url][&zpid],
,,Property Details V2,https://api.axesso.de/zil/property-v2[?zpid][&url],
,,Rent Estimate,https://api.axesso.de/zil/rent-estimate[?laundry][&bedro,
,,Search by Address,https://api.axesso.de/zil/search-by-address[?address],
,,Search by Coordinates,https://api.axesso.de/zil/search-by-coordinates[?isElementarySchool][&onlyWithPhotos][&isZillowOwnedOnly][&greatSchoolsRating_min][&built_max][&hasAirConditioning][&isWaterfront][&baths_min][&isMiddleSchool][&beds_min][&onlyRentalAcceptsApplications][&hoa_max][&output][&isLotLand][&sort][&isMultiFamily][&status][&isCondo][&isSingleFamily][&listing_type][&isAuction][&isWaterView][&isMountainView][&onlyRentalPetsAllowed][&hasGarage][&isCityView][&onlyPriceReduction][&sqft_min][&isForSaleByOwner][&singleStory][&isForSaleByAgent][&monthlyPayment_min][&hasPool][&hoa_min][&monthlyPayment_max][&baths_max][&beds_max][&isApartment][&isManufactured][&isTownhouse][&doz][&price_max][&price_min][&enableSchools][&built_min][&isPrivateSchool][&isForSaleForeclosure][&isPublicSchool][&d][&keywords][&long][&isParkView][&page][&lat][&onlyRentalCatsAllowed][&isNewConstruction][&onlyRentalLargeDogsAllowed][&is3dHome][&isComingSoon][&onlyRentalSmallDogsAllowed][&onlyRentalIncomeRestricted][&sqft_max],
,,Search by MLS,https://api.axesso.de/zil/search-by-polygon[?hasAirConditioning][&page][&baths_min][&price_max][&isWaterfront][&onlyWithPhotos][&isPublicSchool][&parkingSpots_min][&lotSize_max][&enableSchools][&onlyRentalPetsAllowed][&isElementarySchool][&price_min][&isMountainView][&is3dHome][&isForSaleForeclosure][&onlyRentalAcceptsApplications][&greatSchoolsRating_min][&onlyRentalSmallDogsAllowed][&polygon][&isWaterView][&isCondo][&monthlyPayment_min][&hoa_min][&hasPool][&output][&hasGarage][&sqft_max][&isCityView][&isSingleFamily][&status][&listing_type][&isMultiFamily][&isTownhouse][&isForSaleByAgent][&baths_max][&isPrivateSchool][&sqft_min][&isParkView][&keywords][&isForSaleByOwner][&isZillowOwnedOnly][&hoa_max][&beds_max][&isApartment][&doz][&isManufactured][&beds_min][&isMiddleSchool][&isAuction][&onlyRentalIncomeRestricted][&onlyRentalCatsAllowed][&isComingSoon][&onlyPriceReduction][&monthlyPayment_max][&isNewConstruction][&built_max][&isLotLand][&onlyRentalLargeDogsAllowed][&sortSelection][&singleStory][&built_min],
,,Search by URL,https://api.axesso.de/zil/search-by-url[?url],
,,Search Properties,https://api.axesso.de/zil/search[?isElementarySchool][&status][&enableSchools][&isZillowOwnedOnly][&built_max][&keywords][&isComingSoon][&sortSelection][&isLotLand][&page][&isForSaleForeclosure][&isNewConstruction][&lotSize_min][&hoa_min][&isPrivateSchool][&is3dHome][&beds_min][&baths_max][&beds_max][&onlyRentalCatsAllowed][&doz][&isSingleFamily][&onlyRentalAcceptsApplications][&isCondo][&onlyWithPhotos][&isForSaleByAgent][&isTownhouse][&output][&isApartment][&isCityView][&isMultiFamily][&price_min][&onlyRentalLargeDogsAllowed][&onlyRentalIncomeRestricted][&lotSize_max][&isParkView][&parkingSpots_min][&isAuction][&onlyRentalSmallDogsAllowed][&greatSchoolsRating_min][&onlyRentalPetsAllowed][&isMiddleSchool][&hasAirConditioning][&isMountainView][&isWaterView][&isPublicSchool][&isForSaleByOwner][&singleStory][&onlyPriceReduction][&isWaterfront][&baths_min][&built_min][&sqft_min][&listing_type][&location][&isManufactured][&hasGarage][&hasPool][&price_max][&monthlyPayment_max][&monthlyPayment_min][&sqft_max][&hoa_max],
,,Similar Properties,https://api.axesso.de/zil/similar-properties[?address][&zpid][&url],
,,Similar Rent,https://api.axesso.de/zil/similar-rent[?zpid][&url][&address],
,,Similar Sold,https://api.axesso.de/zil/similar-sold[?zpid][&url][&address],
,, Zestimate History,https://api.axesso.de/zil/zestimate-history[?url][&zpid],
,,,,
,,,,
,,Research documentation,https://axesso.developer.azure-api.net/api-details#api=zillow-api&operation=accessibility-scores,